"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","703.389.500","2,11","-0,47%"
"CSAN3","Cosan","226.148.900","7,09","-2,07%"
"COGN3","Cogna","104.972.500","1,52","-1,94%"
"CSNA3","Siderúrgica Nacional","91.028.700","8,52","-1,73%"
"BBDC4","Banco Bradesco","84.387.200","11,24","-2,01%"
"ABEV3","Ambev","79.761.000","12,22","-0,81%"
"B3SA3","B3","57.805.500","10,40","-2,80%"
"PETR4","Petrobras","55.476.800","35,93","-1,86%"
"HYPE3","Hypera","47.624.900","19,05","-1,09%"
"VALE3","Vale","46.789.400","55,15","-2,04%"
"ITSA4","Itaúsa","46.590.300","8,75","-2,56%"
"LREN3","Lojas Renner","40.572.600","11,33","+0,44%"
"ITUB4","Itaú Unibanco","35.319.200","31,92","-2,44%"
"CPLE6","Copel","34.246.500","9,87","-3,05%"
"RENT3","Localiza","30.888.400","28,10","+1,81%"
"MGLU3","Magazine Luiza","29.748.100","7,15","-2,19%"
"BBAS3","Banco do Brasil","28.266.200","27,31","-2,32%"
"ELET3","Eletrobras","27.786.100","38,22","+2,60%"
"RADL3","RaiaDrogasil","25.749.900","17,38","-5,80%"
"PRIO3","PetroRio","23.997.500","38,17","-0,08%"
"ASAI3","Assaí","23.847.100","6,67","-2,91%"
"VAMO3","Grupo Vamos","23.466.300","3,81","-6,62%"
"HBSA3","Hidrovias do Brasil","22.936.800","1,98","+2,59%"
"MRVE3","MRV","22.746.900","4,51","-4,25%"
"POMO4","Marcopolo","21.770.100","7,35","+2,80%"
"RAIZ4","Raízen","21.631.200","1,65","-4,62%"
"ONCO3","Oncoclínicas","21.172.500","5,62","+11,07%"
"BBDC3","Banco Bradesco","21.153.200","10,36","-2,08%"
"LWSA3","Locaweb","21.141.700","2,74","-3,86%"
"PETR3","Petrobras","20.950.000","39,05","-0,48%"
"VBBR3","Vibra Energia","19.359.900","17,02","-3,24%"
"CMIG4","Cemig","18.859.800","11,13","-1,15%"
"AZEV4","Azevedo & Travassos","18.854.700","1,17","-2,50%"
"JHSF3","JHSF","18.452.100","3,56","-4,56%"
"CCRO3","Grupo CCR","18.253.300","11,70","-2,90%"
"RAIL3","Rumo","17.088.900","16,93","-2,98%"
"CRFB3","Carrefour Brasil","17.053.400","7,25","+0,28%"
"UGPA3","Ultrapar","17.039.400","16,63","-2,75%"
"GGBR4","Gerdau","16.846.300","16,66","-1,13%"
"ANIM3","Ânima Educação","14.833.100","1,69","-3,98%"
"BRFS3","BRF","14.581.000","17,93","-2,55%"
"NTCO3","Natura","13.866.200","12,93","-3,72%"
