Data,Acao,Valor,Ano
01-11-2018,AALL34,0.37773,2018
02-02-2018,AALL34,0.3248,2018
03-08-2018,AALL34,0.4056,2018
04-02-2019,AALL34,0.3691,2019
04-02-2020,AALL34,0.43722,2020
04-05-2018,AALL34,0.36277,2018
05-11-2019,AALL34,0.42131,2019
06-05-2019,AALL34,0.402,2019
06-08-2019,AALL34,0.40198,2019
09-11-2017,AALL34,0.32065,2017
10-08-2017,AALL34,0.31567,2017
12-05-2017,AALL34,0.32411,2017
26-04-2019,AALR3,0.027763,2019
28-04-2020,AALR3,0.087297,2020
03-11-2016,AAPL34,0.024446,2016
04-02-2016,AAPL34,0.025864,2016
04-02-2022,AAPL34,0.057179,2022
04-08-2016,AAPL34,0.022598,2016
04-11-2022,AAPL34,0.060958,2022
05-02-2015,AAPL34,0.016618,2015
05-02-2021,AAPL34,0.055144,2021
05-05-2016,AAPL34,0.025034,2016
05-08-2022,AAPL34,0.059971,2022
05-11-2015,AAPL34,0.024812,2015
05-11-2021,AAPL34,0.060243,2021
06-05-2022,AAPL34,0.058729,2022
06-08-2015,AAPL34,0.022592,2015
06-08-2021,AAPL34,0.057715,2021
06-11-2020,AAPL34,0.05621,2020
07-02-2018,AAPL34,0.02533,2018
07-02-2019,AAPL34,0.034191,2019
07-02-2020,AAPL34,0.041377,2020
07-05-2015,AAPL34,0.019339,2015
07-05-2021,AAPL34,0.059406,2021
07-08-2020,AAPL34,0.055544,2020
07-11-2019,AAPL34,0.04028,2019
08-02-2024,AAPL34,0.041795,2024
08-05-2020,AAPL34,0.060174,2020
08-11-2018,AAPL34,0.034313,2018
08-11-2024,AAPL34,0.050397,2024
09-02-2017,AAPL34,0.02199,2017
09-05-2019,AAPL34,0.038535,2019
09-08-2018,AAPL34,0.035729,2018
09-08-2019,AAPL34,0.03857,2019
09-08-2024,AAPL34,0.047798,2024
09-11-2017,AAPL34,0.025598,2017
10-02-2023,AAPL34,0.059807,2023
10-05-2018,AAPL34,0.034059,2018
10-05-2024,AAPL34,0.044757,2024
10-08-2017,AAPL34,0.024729,2017
10-11-2023,AAPL34,0.041029,2023
11-05-2017,AAPL34,0.025614,2017
11-08-2023,AAPL34,0.058556,2023
