Ano,Acao,Valor
2017,AALL34,0.96043
2018,AALL34,1.4708999999999999
2019,AALL34,1.5943900000000002
2020,AALL34,0.43722
2019,AALR3,0.027763
2020,AALR3,0.087297
2015,AAPL34,0.083361
2016,AAPL34,0.097942
2017,AAPL34,0.097931
2018,AAPL34,0.129431
2019,AAPL34,0.15157600000000002
2020,AAPL34,0.21330500000000002
2021,AAPL34,0.232508
2022,AAPL34,0.23683700000000002
2023,AAPL34,0.219216
2024,AAPL34,0.184747
2018,ABBV34,0.225618
2019,ABBV34,1.0626570000000002
2020,ABBV34,1.5437729999999998
2021,ABBV34,1.7552109999999999
2022,ABBV34,1.36147
2023,ABBV34,1.714109
2024,ABBV34,1.433204
2015,ABCB4,0.422379
2016,ABCB4,0.840762
2017,ABCB4,1.0368789999999999
2018,ABCB4,1.035584
2019,ABCB4,1.068441
2020,ABCB4,0.632518
2021,ABCB4,0.9831829999999999
2022,ABCB4,1.2547739999999998
2023,ABCB4,1.192481
2024,ABCB4,2.386
2017,ABCP11,0.8
2022,ABCP11,5.029999999999999
2023,ABCP11,5.799999999999999
2024,ABCP11,7.1
2015,ABEV3,1.5799999999999998
2016,ABEV3,0.64
2017,ABEV3,0.54
2018,ABEV3,0.55
2019,ABEV3,0.4906
2020,ABEV3,0.4137
2021,ABEV3,0.6803
2022,ABEV3,0.7623
2023,ABEV3,0.7302
2024,ABEV3,0.6676
2015,ABTT34,0.261714
2016,ABTT34,0.30478
2017,ABTT34,0.27775
2018,ABTT34,0.33955599999999997
2019,ABTT34,0.423739
2020,ABTT34,0.618231
2021,ABTT34,0.403372
2022,ABTT34,0.605098
2023,ABTT34,0.783973
2024,ABTT34,0.673219
2015,ACNB34,4.34192
2016,ACNB34,7.995900000000001
2017,ACNB34,8.108550000000001
2018,ACNB34,10.378
2019,ACNB34,9.17929
2020,ACNB34,17.2359
2021,ACNB34,9.927145
2022,ACNB34,19.479043
2023,ACNB34,23.558061
2024,ACNB34,23.091305
2015,AFLT3,0.124671
2016,AFLT3,0.309129
2017,AFLT3,0.218563
2018,AFLT3,0.180516
2019,AFLT3,0.105651
2020,AFLT3,0.468666
2021,AFLT3,0.31305700000000003
2022,AFLT3,0.236234
2023,AFLT3,0.480211
2024,AFLT3,0.327831
2015,AGRO3,1.3977
2016,AGRO3,0.5840799999999999
2017,AGRO3,0.241108
2018,AGRO3,0.762051
2019,AGRO3,0.92933
2020,AGRO3,0.709664
2021,AGRO3,2.621181
2022,AGRO3,5.254966
2023,AGRO3,3.212353
2024,AGRO3,1.555983
2016,AIGB34,1.04352
2017,AIGB34,4.12432
2018,AIGB34,4.82784
2019,AIGB34,5.08128
2020,AIGB34,5.15424
2021,AIGB34,5.1318399999999995
2022,AIGB34,6.556799999999999
2023,AIGB34,5.8295580000000005
2024,AIGB34,6.791357
2024,ALMI11,21.267812
2015,ALPA3,0.709315
2016,ALPA3,0.21863300000000002
2017,ALPA3,0.247817
2018,ALPA3,0.343015
2020,ALPA3,0.05019
2021,ALPA3,0.247202
2022,ALPA3,0.148322
2015,ALPA4,0.5116580000000001
2016,ALPA4,0.24031000000000002
2017,ALPA4,0.272388
2018,ALPA4,0.37702699999999995
2020,ALPA4,0.055166
2021,ALPA4,0.271712
2022,ALPA4,0.163028
2015,ALUP11,0.960246
2016,ALUP11,0.672172
2017,ALUP11,0.473821
2018,ALUP11,0.665681
2019,ALUP11,0.41605
2020,ALUP11,0.637944
2021,ALUP11,0.776627
2022,ALUP11,1.137204
2023,ALUP11,1.7307700000000001
2024,ALUP11,1.41
2017,ALUP3,0.15794
2018,ALUP3,0.221893
2019,ALUP3,0.138683
2020,ALUP3,0.212648
2021,ALUP3,0.258876
2022,ALUP3,0.379068
2023,ALUP3,0.576924
2024,ALUP3,0.47000000000000003
2017,ALUP4,0.15794
2018,ALUP4,0.221893
2019,ALUP4,0.138683
2020,ALUP4,0.212648
2021,ALUP4,0.258876
2022,ALUP4,0.379068
2023,ALUP4,0.576924
2024,ALUP4,0.47000000000000003
2022,ALZR11,11.358052
2023,ALZR11,8.786845
2024,ALZR11,9.10873
2015,AMAR3,0.269227
2015,AMGN34,0.38645699999999994
2016,AMGN34,0.489893
2017,AMGN34,0.526799
2018,AMGN34,0.705616
2019,AMGN34,0.824734
2020,AMGN34,0.8327370000000001
2021,AMGN34,0.9988249999999999
2022,AMGN34,1.406853
2023,AMGN34,1.2888110000000002
2024,AMGN34,1.224793
2015,ANIM3,0.1576
2016,ANIM3,0.0625
2017,ANIM3,0.020633
2018,ANIM3,0.084533
2019,ANIM3,0.0023
2024,ANIM3,0.47127
2015,ARMT34,0.926011
2018,ARMT34,0.1901
2019,ARMT34,0.38933
2021,ARMT34,0.753015
2022,ARMT34,0.968943
2023,ARMT34,0.990419
2024,ARMT34,1.213949
2016,ARNC34,0.304875
2017,ARNC34,0.762348
2018,ARNC34,0.894618
2019,ARNC34,0.47012600000000004
2020,ARNC34,0.087836
2021,ARNC34,0.21706999999999999
2022,ARNC34,0.51556
2023,ARNC34,0.775352
2024,ARNC34,0.9880329999999999
2017,ATSA11B,3.0
2022,ATSA11B,0.2
2023,ATSA11B,0.15000000000000002
2024,ATSA11B,1.22
2015,ATTB34,2.04309
2016,ATTB34,2.23224
2017,ATTB34,2.070658
2018,ATTB34,2.36325
